name,alternativename,primaryvalue,subcategory,category,type,highlight,metric_001,metric_002,metric_003,metric_004,notes,exclude,,,firstsource,secondsource,thirdsource,,,,,,,,,,,,,,,,,,,,
coffee,,3,general health,general health,grain / pulse,,35228,1,721,,"People who drink more coffee suffer less from diabetes, various cancers, Parkinson's and Alzheimer's. But coffee raises cholesterol and worsens insomnia and some heart problems. Caffeine withdrawal an obvious downside for the addicted. Pregnant and postmenopausal women should avoid drinking too much. ",,,"2011 review: coffee consumption inversely correlated with incidence of diabetes mellitus, various cancer lines, Parkinsonism, and Alzheimer's disease. Coffee ameliorates oxidative stress and caffeine and its metabolites help in proper cognitive functionality. Coffee lipid fraction containing cafestol and kahweol act as a safeguard against some malignant cells by modulating the detoxifying enzymes. On the other hand, their higher levels raise serum cholesterol, posing a possible threat to coronary health, for example, myocardial and cerebral infarction (heart attacks and strokes), insomnia, and cardiovascular complications. Caffeine also affects adenosine receptors and its withdrawal is accompanied with muscle fatigue and allied problems in those addicted to coffee. An array of evidence showed that pregnant women or those with postmenopausal problems should avoid excessive consumption of coffee because of its interference with oral contraceptives or postmenopausal hormones.",,,http://www.ncbi.nlm.nih.gov/pubmed/21432699,,100%,,,1,,Butt and Sultan 2011,,,,,,,,,,,,,
coffee,caffeine,3,"Alzheimer's, dementia",mental health,grain / pulse,,35228,13,721,,Those with a higher caffeine intake appear have a lower risk of developing Alzheimer's and other dementias. But more research needed to establish causality.,,,"2010 meta analysis: The summary relative risk (RR) for the association between caffeine intake and different measures of cognitive impairment/decline was 0.84. A trend towards a protective effect of caffeine found, but large methodological heterogeneity across a still limited number of epidemiological studies. 2011 review: Many research investigations, epidemiological studies, and meta-analyses regarding coffee consumption revealed its inverse correlation with that of diabetes mellitus, various cancer lines, Parkinsonism, and Alzheimer's disease. 2010: AD mice given caffeine in their drinking water from young adulthood into older age showed protection against memory impairment and lower brain levels of the abnormal protein (amyloid-beta; Abeta) thought to be central to AD pathogenesis. ",,http://www.ncbi.nlm.nih.gov/pubmed/20182026,,,,11,2010,,,Santos et al 2010,,http://www.ncbi.nlm.nih.gov/pubmed/21432699,http://www.ncbi.nlm.nih.gov/pubmed/20182037,,,,,,,,,,
cordyceps sinensis,"ophiocordyceps sinensis, caterpillar fungus, yartsa gunbu, yatsa gunbu, Dōng chóng xià cǎo, bailing",4,kidney health,urinary,fungus,,940,4,62,,A fungus that grows on moth larvae – yum. Regular supplementation improves some aspects of kidney health among transplant patients or those with kidney disease.,,,"A fungus that parasitizes the larvae of ghost moths and produces a fruiting body valued as an herbal remedy. 2002: cordyceps powder with artemisinin effective at treating symptoms of lupus nephritis, an inflammation of the kidneys. 2004: cordyceps as dry powder capsules positively affected numerous markers of kidney and blood health among kidney transplant patients and incidence of infection was significantly lower. 2008: bailing (fermented cordyceps) and enalapril together improved markers of kidney health after kidney transplants better than either treatment alone. But bailing performed better than control (control group given other immunosuppressive agents). 2009: 1g cordyceps 3 times a day improved some markers of kidney health among kidney transplant patients but not others. May be effective at reducing incidence of chronic allograft nephropathy.",,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/856/CN-00721856/frame.html,,88%,,,4,3.5,Li et al 2009,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/366/CN-00435366/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/314/CN-00492314/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/928/CN-00749928/frame.html,,,,,,,,,
cranberry products,"cranberry juice, cranberries",1,urinary tract infections,"urinary, women",plant extract,,4736,24,166,,Cranberry juice doesn't prevent painful urinary tract infections. In trials many people stopped drinking it. Cranberry tablets and capsules also ineffective.,,,"In a 2012 review of 24 studies (4473 participants) comparing cranberry products with control or alternative treatments, there was a small trend towards fewer UTIs in people taking cranberry product compared to placebo or no treatment but this was not a significant finding. Many people in the studies stopped drinking the juice, suggesting it may not be a acceptable intervention. Cranberry juice does not appear to have a significant benefit in preventing UTIs and may be unacceptable to consume in the long term. Cranberry products (such as tablets or capsules) were also ineffective (although had the same effect as taking antibiotics), possibly due to lack of potency of the 'active ingredient'. The Cochrane review of cranberry products for the treatment of UTIs found no suitable studies.",http://summaries.cochrane.org/CD001321/cranberries-for-preventing-urinary-tract-infections,,http://www.efsa.europa.eu/en/efsajournal/pub/943.htm,24,,,2012,,,Cochrane review: Cranberries for preventing urinary tract infections,,http://summaries.cochrane.org/CD001322/still-waiting-for-evidence-about-whether-cranberries-are-a-useful-treatment-for-urinary-tract-infections,,,,,,,,,,,
dandelion,dandelion soup,1,tonsilitis,infections,vegetable,,2809,1,151,,Dandelion soup + penicillin more effective for tonsilitis than penicillin alone.,,,"Tan 2010, reported in Cochrane review: Compound dandelion soup and sodium penicillin was more effective than sodium penicillin alone for acute purulent tonsillitis (Tan 2010). Eighteen participants out of 50 (36%) recovered in the compound dandelion soup group, while ﬁve recovered in the control group (10%).",http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD004877.pub3/abstract,,,1,,,2012,0,,Cochrane review: Chinese medicinal herbs for sore throat,,,,,,,,,,,,,
dulse,"Palmaria palmata, sea lettuce flakes",0,all conditions,general health,alga,OTW,733,2,48,,A potential source of antioxidants. Very high in potassium - one woman with kidney problems was hospitalized after eating dulse. No human trials yet.,,,"No human trials, but has been investigated in the lab as a source of antioxidants. It is very high in potassium, and a case was recorded of a woman with kidney problems being admitted to hospital as a result.",,,http://www.ncbi.nlm.nih.gov/pubmed/20825630,,,,,0,0,McGrath et al 2010 (case report),,http://www.sciencedirect.com/science/article/pii/S030881460400500X,,,,,,,,,,,
ecklonia cava seaweed,,2,"cholesterol, weight loss","weight control, cardio",alga,OTW,365,2,70,,"12 weeks of either seaweed or extract reduces body weight and fat, and improves various cardio measures including cholesterol. Polyphenols may be active compounds. Larger studies needed. ",,,"2012: After 12 weeks of supplementation with a polyphenol extract from Ecklonia cava at either a low (72 mg/day) or high (144mg / day) dose, both dosage groups showed significant decreases in BMI, body fat ratio, waist circumference, waist/hip ratio, total cholesterol, low-density lipoprotein (LDL) cholesterol, total cholesterol/high-density lipoprotein (HDL) cholesterol and atherogenic index (AI) compared with the placebo group. A second 2012 pilot study found 400mg a day for 12 weeks in individuals with high cholesterol reduced hip circumference and lowered total cholesterol, LDL-C, and C-reactive protein (an inflammation marker). ",,,http://www.ncbi.nlm.nih.gov/pubmed/21717516,,100%,,,2,2,Shin et al 2012,,http://www.ncbi.nlm.nih.gov/pubmed/23126663,,,,,,,,,,,
ecklonia cava seaweed,,1,blood pressure,cardio,alga,OTW,365,1,70,,A high dose of a polyphenol extract from seaweed for 12 weeks lowered blood pressure. A lower dose did not.,,,"2012: 144mg of a polyphenol extract from Ecklonia cava every day for 12 weeks lowered systolic blood pressure compared to placebo among overweight male and female adults (average age 40.5), but a lower dose (72 mg / day) did not. ",,,http://www.ncbi.nlm.nih.gov/pubmed/21717516,,100%,,,1,1,Shin et al 2012,,,,,,,,,,,,,
eggs,"hen's eggs, chicken's eggs",4,appetite,weight control,animal product,,15620,4,938,,"Can reduce hunger, reduce food intake and regulate blood glucose and insulin levels for up to 36 hours. Particularly effective if eaten for breakfast. ",,,"Eating eggs, particularly for breakfast, may keep you feeling fuller for longer – reducing feelings of hunger over the next 4-36 hours – and may also reduce food intake and regulate blood glucose and insulin levels. ",,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/508/CN-00750508/frame.html,,88%,,,4,3.5,Ratliff et al 2010,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/046/CN-00812046/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/357/CN-00722357/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/802/CN-00553802/frame.html,,,,,,,,,
eggs,"hen's eggs, chicken's eggs",2,eye health,general health,animal product,OTW,15620,2,938,,6 eggs a week may improve eye health. Eggs contain carotenoid compounds needed for good vision.,,,"Two carotenoids found in egg yolk, lutein and zeaxanthin, accumulate in the macular retina where they may reduce photostress and reduce the risk of age-related macular degeneration. 2006 /1 : serum zeaxanthin, but not serum lutein, and macular pigment optical density increased in groups of women who 6 eggs a week for 12 weeks.  2006/ 2: in older adults, 5 wk of consuming 1 egg/d significantly increased serum lutein and zeaxanthin concentrations without elevating serum lipids and lipoprotein cholesterol concentrations.",,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/052/CN-00623052/frame.html,,100%,,,2,2,Wenzel et al 2006,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/094/CN-00568094/frame.html,,,,,,,,,,,
eggs,"hen's eggs, chicken's eggs",1,blood sugar and cardio risk factors in diabetes,"diabetes, cardio",animal product,OTW,15620,1,938,,"In diabetics, a high protein diet with eggs lowers blood pressure, blood sugar and improves other aspects of cardio health better than the same diet without eggs. The cholesterol issue: eggs do raise cholesterol in a small number of people, but not the majority.",,,"In a 2011 trial of 65 subjects with type-2 diabetes, those on a high-protein calorie restricted diet including eggs showed improved glycaemic and lipid profiles, blood pressure and lowered apo-B (a measure of heart disease risk) compared to those on the same diet but not including eggs. Background information: most people do not show elevated cholesterol after eating eggs, but a small number of people do (hyper-responders).",,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/745/CN-00779745/frame.html,,100%,,,1,1,Pearce et al 2011,,,,,,,,,,,,,
elderberry,,1,flu,infections,fruit,,2227,2,100,,An elderberry extract called Sambucol may be good for viral influenza. But more rigorous studies are needed.,,,Several in vitro studies together with two exploratory studies in humans and one open study in chimpanzees indicate that the aqueous elderberry extract Sambucol may be useful for the treatment of viral influenza infections. These promising effects of elderberry fruit preparations from experimental and clinical studies should be backed by more rigorous studies before these preparations are recommended in the prevention of diseases and in treatment schedules. ,,http://www.ncbi.nlm.nih.gov/pubmed/19548290,,,,2,2010,,,Vlachojannis et al 2010,,http://www.ncbi.nlm.nih.gov/pubmed/15080016,,,,,,,,,,,
elderberry,,1,lipid and antioxidant status,cardio,fruit,,2227,1,100,,Low doses of an elderberry extract had a minor antioxidant and cholesterol lowering effect.,,,2004: Elderberry spray-dried extract at a low dose exerts a minor effect on serum lipids and antioxidative capacity. ,,,http://www.ncbi.nlm.nih.gov/pubmed/14749743,,,,,1,1,Murkovic et al 2004,,,,,,,,,,,,,
elk velvet antler,elk antler velvet,0,rheumatoid arthritis,musculoskeletal,animal product,,151,2,11,,Ineffective. Two studies so far show no improvements in joint pain and swelling and other arthritis symptoms after taking velvet antler compared to placebo.,,,"2002: among 40 patients with rheumatoid arthritis, elk velvet antler plus standard arthritis medication was safe but did not significantly improve symptoms compared to drugs alone. 2008: no significant differences between groups in symptoms.",,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/343/CN-00637343/frame.html,,0%,,,2,0,Allen et al 2008,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/080/CN-00389080/frame.html,,,,,,,,,,,
fennel,,1,digestion,digestion,vegetable,OTW,4706,1,181,,,,,"Plants that have a substantial body of data in support of their digestion-enhancing activities are ginger, peppermint, aniseed and fennel.",,http://www.ncbi.nlm.nih.gov/pubmed/22010973,http://www.phcogrev.com/article.asp?issn=0973-7847;year=2009;volume=3;issue=6;spage=346;epage=352;aulast=Garga,,,,2012,1,,Valussi 2012,,,,,,,,,,,,,
fennel,,1,PMS,women,vegetable,OTW,4706,1,181,,,,,,,,http://www.jri.ir/en/ShowArticle.aspx?id=472,,,,,1,,Delaram et al 2011,,,,,,,,,,,,,
figs,,1,"cardiovascular disease, cancer","cardio, cancer",fruit,OTW,4397,2,659,,,,,,,,http://www.ncbi.nlm.nih.gov/pubmed/17002444,,,,,2,,Solomon et al 2006,,wholefooddelights.com/pdf/FuncFood.pdf,,,,,,,,,,,
fish oil / omega 3,,4,cardiovascular disease,cardio,animal product,,4637,89,1015,,"Omega 3 fats are found in oily fish and some vegetable oils. Not clear whether omega 3 intake has any effect on heart attack, stroke or cancer risk, or risk of death from any cause. But potent at lowering triglycerides (which increase cardio disease risk) among people with high levels.",,,"2009 Cochrane review: it is not clear whether dietary or supplemental omega 3 fats (found in oily fish and some vegetable oils) alter total deaths, cardiovascular events (such as heart attacks and strokes) or cancers in the general population, or in people at risk of, or with, cardiovascular disease. When the analysis was limited to fish-based or plant-based, dietary or supplemental omega 3 fats there was still no evidence of reduction in deaths or cardiovascular events in any group. 2012 meta-analysis: insufficient evidence of a secondary preventive effect of omega-3 fatty acid supplements against overall cardiovascular events among patients with a history of cardiovascular disease. 2012 second meta-analysis: omega-3 PUFA supplementation was not associated with a lower risk of all-cause mortality, cardiac death, sudden death, myocardial infarction, or stroke based on relative and absolute measures of association. 2009 meta-analysis: Fish oil supplementation produces a clinically significant dose-dependent reduction of fasting blood TG but not total, HDL or LDL cholesterol in hyperlipidemic subjects. 2011: both EPA and DHA reduce triglycerides",http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD003177.pub2/abstract,http://www.ncbi.nlm.nih.gov/pubmed/22493407,http://www.ncbi.nlm.nih.gov/pubmed/22968891,89,,,2012,,,Cochrane review: Omega 3 fatty acids for prevention and treatment of cardiovascular disease,,http://www.ncbi.nlm.nih.gov/pubmed/19609891,http://www.ncbi.nlm.nih.gov/pubmed/18774613,http://www.ncbi.nlm.nih.gov/pubmed/22701607,http://www.ncbi.nlm.nih.gov/pubmed/21975919,,,,,,,,
fish oil / omega 3,,5,appetite among cancer patients,cancer,animal product,,4637,17,1015,,"People with advanced cancer benefit from omega 3 supplements. Omega 3 increases weight and appetite, improves quality of life and health after surgery. More than 1.5 grams per day for at least 8 weeks recommended.",,,"A 2007 systematic review of 17 studies (8 of high quality) found oral supplements with n-3 fatty acids benefit patients with advanced cancer and weight loss. The advantages observed were: increased weight and appetite, improved quality of life, and reduced post-surgical morbidity. It is recommended to administer > 1.5 g/day for a period of at least 8 weeks. ",,http://www.ncbi.nlm.nih.gov/pubmed/17408522,,,,17,2007,,,Colomer et al 2007,,,,,,,,,,,,,
fish oil / omega 3,,1,asthma,general health,animal product,,4637,9,1015,,Changing your diet to include more fish oil does not improve asthma.,,,"Eating more fish has been recommended as one way of possibly reducing asthma. Populations (such as Eskimo communities) with diets high in fish also have low rates of asthma. As diets in other communities have become higher in saturated fats, asthma has also increased. The theory has been that an ingredient in fish oil may reduce inflammation. Inflammation causes the swelling in the airways of the lungs that leads to asthma attacks. However, this review of trials found that people with asthma changing their diets to include more fish oil did not improve their asthma.",http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD001283/abstract,,,9,,,2009,,,Cochrane review: Dietary marine fatty acids (fish oil) for asthma in adults and children,,,,,,,,,,,,,
fish oil / omega 3,,2,cognitive function in young people,mental health,animal product,,4637,8,1015,,DHA (a kind of omega 3 fatty acid) may or may not improve aspects of cognitive function among children.,,,"2013 review: McNamara et al. (2010) showed in healthy boys (8–10 years old) that only 8 weeks of supplementation with 400 mg (low, normal dose) or 1200 mg (high dose) of DHA per day dose improved reaction time during performance on an attention task. Not all positive effects have been found. In Kennedy et al. (2009), 90 healthy, cognitive intact 10–12 year old children were fed either 400 mg or 1000 mg of DHA per day for 8 weeks, but reported no reliable beneficial effects of these diets on cognitive performance. Karr et al. (2012) assessed the effects of a four week fish oil (480 mg DHA/720 mg EPA) treatment in healthy college-aged individuals on cognitive performance, but reported limited cognitive benefits, although acknowledged that the dose of fish oil may have been sub-therapeutic and sample size too small. ",,http://www.sciencedirect.com/science/article/pii/S0028390812003553,http://www.ncbi.nlm.nih.gov/pubmed/20171055,,,8,2013,,,Luchtman and Song 2013,,http://www.ncbi.nlm.nih.gov/pubmed/12509593,,,,,,,,,,,
fish oil / omega 3,,1,cognitive function in older people,mental health,animal product,,4637,3,1015,,No benefit on cognitive function among healthy older people without dementia. But DHA supplements may improve learning and memory among people already showing signs of age-related cognitive decline.,,,Cochrane review of 3 high-quality studies: No benefit for cognitive function with omega-3 PUFA supplementation among cognitively healthy older people. 2010 paper (not included in Cochrane review): some benefit of DHA supplementation on learning and memory function among people already showing signs of age-related cognitive decline.,http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD005379.pub3/abstract,,,3,,,2012,,,Cochrane review: Fish oils for the prevention of dementia in older people,,http://www.ncbi.nlm.nih.gov/pubmed/20434961,,,,,,,,,,,
fish oil / omega 3,,3,colorectal cancer,cancer,animal product,,4637,15,1015,,People who consume the most fish oil seem to have a lower risk of developing colorectal cancer (around 12-34% lower than those who consume the least). But more research needed to establish whether the link is causal.,,,"2007 meta analysis of population cohort studies: pooled relative risks for colorectal cancer 12% lower (relative risk of 0.88) for the highest as compared to the lowest fish consumption category. The pooled relative risks were 22% lower for women and 6% lower for men. Another large 2007 Scottish study, tracked c1500 people, 1999-2006: dose-dependent risk reduction. Highest fish oil consumers showed 34% lower risk of colorectal cancer compared to lowest quartile.",,http://www.ncbi.nlm.nih.gov/pubmed/17823383,,14,,14,2007,1,,Geelen et al 2007,,http://aje.oxfordjournals.org/cgi/content/full/166/2/181,"http://journals.lww.com/eurjcancerprev/Abstract/1995/08000/Fish,_n_3_fatty_acids_and_human_colorectal_and.8.aspx",,,,,,,,,,
flax seeds,,3,"cardiovascular disease, blood pressure",cardio,nut / seed,,4601,0,179,,,,,,,,http://nccam.nih.gov/health/flaxseed/ataglance.htm,,,,,,,National Institutes of Health,,,,,,,,,,,,,
flax seeds,,3,constipation,digestion,nut / seed,,4601,0,179,,Contain soluble fiber and may have a laxative effect.,,,Flaxseed contains soluble fiber and may have a laxative effect.,,,http://nccam.nih.gov/health/flaxseed/ataglance.htm,,,,,,,National Institutes of Health,,,,,,,,,,,,,
flax seeds,,3,menopausal hot flushes,women,nut / seed,,4601,0,179,,,,,,,,http://nccam.nih.gov/health/flaxseed/ataglance.htm,,,,,,,National Institutes of Health,,,,,,,,,,,,,
flax seeds,,1,breast cancer,women,nut / seed,,4601,1,179,,"In a single study, flaxseed muffins reduced some markers of cancer cell death in breast cancer patients. It has the potential to reduce tumor growth - but more and larger studies needed.",,,2005 study of 32 participants: Dietary flaxseed reduced some markers of cancer cell death and has the potential to reduce tumor growth in patients with breast cancer.,,,http://clincancerres.aacrjournals.org/content/11/10/3828.abstract,,,,,,,Thompson et al 2005,,,,,,,,,,,,,
"fruit + veg, all types",,3,cancer prevention,cancer,fruit,,30790,12,1369,,"Contrary to popular belief, eating fruit and vegetables has little effect on overall cancer risk. But specific groups of vegetables may protect against particular cancer types. ",,,"Contrary to popular belief, evidence suggests eating fruit and vegetables has little effect on overall cancer risk. 2011 review: 'The possibility that fruit and vegetables may help to reduce the risk of cancer has been studied for over 30 years, but no protective effects have been firmly established..' An analysis (Boffetta et al, 2010)  involving 142 605 men and 335 873 women over 1992-2000 found that high fruit and vegetable intake lowers cancer risk only by a small amount: around 1-3%. The study found a stronger reduction in risk in heavy drinkers, confined to cancers caused by smoking and alcohol. However, consumption of specific groups of vegetables and fruits may protect against subtypes of esophageal and gastric cancer. For example, the risk of developing a type of oesophageal cancer dropped by 19% per 25g/day of raw vegetables consumed, and brassica vegetable consumption was associated with lowered risk of a type of stomach cancer.",,http://www.nature.com/bjc/journal/v104/n1/full/6606032a.html,http://jnci.oxfordjournals.org/content/102/8/529.abstract,,,12,2011,,,Boffetta et al 2010,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/532/CN-00805532/frame.html,,,,,,,,,,,
garlic,,6,blood pressure,cardio,vegetable,,13950,11,247,,"Lowers blood pressure, especially in people with high blood pressure.",,,"A 2008 meta-analysis suggests garlic is particularly effective at lowering blood pressure among people with high, rather than normal, blood pressure. Average reduction vs placebo among all participants: 4.6 mm Hg systolic, diastolic not significant. But among people with hypertension, 8.4 mm Hg systolic, 7.3 mm Hg diastolic.",,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2442048/,http://www.ncbi.nlm.nih.gov/pubmed/20594781,,,11,2008,,,Ried et al 2008,,,,,,,,,,,,,
garlic ,aged garlic extract,0.5,cancer treatment,cancer,vegetable,,13950,1,247,,Aged garlic extract increased natural killer cell activity but did not improve quality of life in patients with advanced gastric cancer.,,,"In a randomized double-blind trial, administration of aged garlic extract to 50 patients with advanced cancer of the digestive system improved natural-killer cell activity, but caused no improvement in quality of life. ",,,http://jn.nutrition.org/cgi/content/full/136/3/816S,,,,,1,1,Ishikawa et al 2006,,,,,,,,,,,,,
garlic ,,2,cancer prevention,cancer,vegetable,,13950,22,247,,"Eating more garlic is associated with lower cancer risk, especially for stomach and intestinal cancers. However, the link may or may not be causal. More research needed.",,,"Preliminary studies suggest that garlic consumption may reduce the risk of developing several types of cancer, especially cancers of the gastrointestinal tract. Several population studies show an association between increased intake of garlic and reduced risk of certain cancers, including cancers of the stomach, colon, esophagus, pancreas, and breast. Most of the studies evaluated different types of garlic preparations and used them in varying amounts. If garlic consumption does reduce the risk of developing cancer, the amount needed to lower risk remains unknown.",,http://www.cancer.gov/cancertopics/factsheet/Prevention/garlic-and-cancer-prevention,,,,22,2008,,,National Cancer Institute,,,,,,,,,,,,,
garlic ,,2,colds,infections,vegetable,,13950,1,247,,Insufficient evidence from clinical trials on whether garlic can prevent or treat colds. Much evidence poor quality.,,,There is insufficient clinical trial evidence regarding the effects of garlic in preventing or treating the common cold. A single trial suggested that garlic may prevent occurrences of the common cold but more studies are needed to validate this finding. Claims of effectiveness appear to rely largely on poor-quality evidence.,http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD006206.pub3/abstract,,,1,,,2012,,,Cochrane review: Garlic for the common cold,,,,,,,,,,,,,
ginger,,3,morning sickness,women,herb / spice,,13149,27,217,,"Ginger products may be helpful to women, but evidence of effectiveness limited and not consistent. ",,,"The use of ginger products may be helpful to women, but the evidence of effectiveness was limited and not consistent. ",http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD007575.pub2/abstract,,,27,,,2010,,,Cochrane review: Interventions for nausea and vomiting in early pregnancy,,,,,,,,,,,,,
goji berry ,wolfberry,1,eye health,general health,fruit,OTW,2047,2,25,,High in antioxidants needed for good vision. Goji supplements for 90 days increase blood levels of these antioxidants and improves some measures of eye health. More trials needed.,,,"2011: Goji berry (Lycium barbarum L.) is purported to benefit vision because of its high antioxidant (especially zeaxanthin) content, although this effect has not been demonstrated in high-quality human studies. Daily dietary supplementation with goji berry for 90 days increases plasma zeaxanthin and antioxidant levels as well as protects from hypopigmentation and soft drusen accumulation in the macula of elderly subjects. However, the mechanism of action is unclear, given the lack of relationship between change in plasma zeaxanthin and change in macular characteristics. 2005: Epidemiological studies provide some evidence that an increased consumption of lutein and zeaxanthin with the diet is associated with a lowered risk for age-related macular degeneration, a disease with increasing incidence in the elderly. 2005b: 2005: Zeaxanthin in whole wolfberries is bioavailable and that intake of a modest daily amount markedly increases fasting plasma zeaxanthin levels. ",,,http://www.ncbi.nlm.nih.gov/pubmed/21169874,,100%,,,2,2,Bucheli et al 2011,,http://www.ncbi.nlm.nih.gov/pubmed/15705234,,supporting:,http://www.ncbi.nlm.nih.gov/pubmed/15604618,,,,,,,,
goji berry ,wolfberry,0,"general health, longevity","general health, ageing",fruit,OTW,2047,2,25,,Used in traditional Chinese medicine. Clinical studies lacking.,,,"2010: In view of the available pharmacological data and the long tradition of use in the traditional Chinese medicine, L. barbarum and L. chinense certainly deserve further investigation. However, clinical evidences and rigorous procedures for quality control are indispensable before any recommendation of use can be made for Goji products.",,,http://www.ncbi.nlm.nih.gov/pubmed/19844860,,,,,2,1,Potterat 2010,,http://www.ncbi.nlm.nih.gov/pubmed/18447631,,,,,,,,,,,
grapefruit,,2,"weight loss, cardiovascular health","weight control, cardio",fruit,OTW,6870,3,195,,May provide small boost to weight loss when eaten before meals. Fruit or juice had negligible effect on blood pressure and cholesterol in a single study.,,,"Two recent studies suggest eating grapefruit or consuming grapefruit juice has a small, nonsignificant effect on body weight, lipids (cholesterol), and blood pressure. A 2006 study showed half of a fresh grapefruit eaten before meals was associated with significant weight loss. In metabolic syndrome patients the effect was also seen with grapefruit products. Insulin resistance was improved with fresh grapefruit. 2012: grapefruit should be further evaluated in the context of obesity and cardiovascular disease prevention. ",,,http://www.ncbi.nlm.nih.gov/pubmed/22304836,,67%,,,3,2,Dow et al 2012,,http://www.ncbi.nlm.nih.gov/pubmed/21288350,http://www.ncbi.nlm.nih.gov/pubmed/16579728,,,,,,,,,,
grapes,,4,cardiovascular disease,cardio,fruit,,9317,3,281,,Emerging evidence of protective effect against cardiovascular disease. Perhaps due to polyphenols.,,,"2009: Studies in humans support beneficial effects, perhaps due to polyphenols. 2008: In animal and human studies, grape products have been shown to produce hypotensive, hypolipidaemic and anti-atherosclerotic effects. 2008: Mounting evidence that grape extracts afford some protection against CVD.",,,http://www.ncbi.nlm.nih.gov/pubmed/19087369,,100%,,,3,3,Pérez-Jiménez and Saura-Calixto ,,http://www.ncbi.nlm.nih.gov/pubmed/19625699,http://www.ncbi.nlm.nih.gov/pubmed/19083481,,,,,,,,,,
green coffee beans,,3,high blood pressure,cardio,grain / pulse,OTW,"2,709",4,32,,"Green (unroasted) coffee appears to lower blood pressure while ordinary roasted coffee does not. The more green coffee is drunk, the larger the effect. Why? The BP-lowering effects of beneficial acids in green coffee seem to be inhibited by other compounds produced during the roasting process.",,,"2005: blood pressure among 117 male volunteers with mild hypertension was significantly reduced over 28 days in a dose-related manner by daily green coffee bean extract. 2006: 140 mg / day chlorogenic acids from green coffee beans reduced blood pressure among 28 men with mild hypertension. 2008: hydroxyhydroquinone (HHQ), produced by roasting green coffee beans, may inhibit the antihypertensive effect of chlorogenic acids in brewed coffee. But this study showed reducing HHQ had no effect on blood pressure. 2008: reduced HHQ coffee did lower blood pressure in a dose-dependent manner compared to ordinary coffee.",,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/117/CN-00700117/frame.html,,75%,,,4,3,Yamaguchi et al 2008,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/354/CN-00554354/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/033/CN-00571033/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/655/CN-00707655/frame.html,,,,,,,,,
green tea,,3,cancer prevention,cancer,plant extract,,13191,51,732,,Conflicting evidence on whether it reduces cancer risk. But appears to be safe to drink moderately and regularly.,,,"In a Cochrane review of 51 mainly observational studies with more than 1.6 million participants, the evidence that the consumption of green tea might reduce the risk of cancer was conflicting. This means, that drinking green tea remains unproven in cancer prevention, but appears to be safe at moderate, regular and habitual use.",http://www.cochrane.org/reviews/en/ab005004.html,,,51,,,2009,,,Cochrane review: Green tea for the prevention of cancer,,,,,,,,,,,,,
green tea,,2,cholesterol,cardio,plant extract,,13191,3,732,,High green tea consumption associated with very slightly lower total cholesterol among middle-aged Japanese people. Green tea extract enriched with a polyphenol compound called theaflavin may lower total cholesterol and 'bad' cholesterol.,,,"2002: Consumption of green tea was associated with lower serum concentration of total cholesterol in 13,916 Japanese healthy workers age 40-69 years. The difference was tiny but still significant. However, green tea consumption was unrelated to serum HDL-cholesterol and triglycerides. 2003: The theaflavin-enriched green tea extract for 12 weeks reduced total cholesterol and LDL-C in adults with high cholesterol on a low-fat diet, compared to placebo.",,,http://www.ncbi.nlm.nih.gov/pubmed/11897173,,,,,3,,Tokunaga et al 2002,,http://www.ncbi.nlm.nih.gov/pubmed/12824094,http://www.ncbi.nlm.nih.gov/pubmed/21538852,,,,,,,,,,
